demand_units,azure_cpu_utilization_percent,azure_memory_utilization_percent,active_instances,avg_temperature_c,marketing_spend_usd,competitor_index,year,month,day,day_of_week,quarter,is_weekend,is_month_end,season_q1,season_q2,season_q3,season_q4,demand_lag_1,demand_mean_lag_1,demand_lag_7,demand_mean_lag_7,demand_lag_30,demand_mean_lag_30,demand_rolling_mean_7,demand_rolling_std_7,cpu_spike,cpu_trend,memory_spike,memory_trend,instances_trend,high_utilization,marketing_roi,high_marketing,competitor_threat,demand_growth,azure_load,service_stress
1071,0.7811997391064354,1.200565861168361,1.2089349271387786,-0.2598397495074169,-0.006050086690916047,-1.493692358315715,-1.0600988273786502,-1.505148938573117,1.2830536394954524,-0.9521723812605468,-1.5270858743455775,-0.6763995415945232,-0.1351474756798972,2.1553583507744523,-0.64488217208496,-0.5963414293036761,-0.6032531583743966,1.481306116584182,1.481306116584182,0.18461293572320406,0.79278274149213,0.4560308630141034,0.4216050438653352,0.6065072041869158,-0.2892958174385467,-0.3308364192745532,0.08537764598943362,-0.334991718362665,-0.3264319388976904,1.1572207335907474,2.138924963620744,-0.403163511073357,-0.56871973457804,-0.726221219928179,-0.795989985380691,1.3906344003470839,2.4210614328303324
812,-1.5344135579109541,-1.719160218458251,0.9299980531067583,0.7349115662033803,0.5101061271366392,-1.208363083084942,-1.0600988273786502,-1.505148938573117,1.3986113784322398,-0.47768201026367096,-1.5270858743455775,-0.6763995415945232,-0.1351474756798972,2.1553583507744523,-0.64488217208496,-0.5963414293036761,-0.6032531583743966,-0.3507631734205711,-0.3507631734205711,0.5819468900775866,0.6009122481528397,1.1437143179581861,0.2982314026132302,0.07210931995338825,0.062256727169773624,-0.3308364192745532,-0.7328365547489775,-0.334991718362665,-0.43836580210760995,1.1089716499989486,-0.4675245822121844,-0.874899079789076,-0.56871973457804,-0.726221219928179,-0.5473892169614266,-2.3039493724887636,-0.41304197672958426
1608,-1.026108200029088,-1.528743300221733,1.3484033641547888,-1.1551159336471344,-1.1595252089371897,-0.12411183720800407,-1.0600988273786502,-1.1920442619856122,-1.4903320949874481,1.4202794737238325,-1.5270858743455775,1.4784161409137435,-0.1351474756798972,2.1553583507744523,-0.64488217208496,-0.5963414293036761,-0.6032531583743966,-0.9031565914778832,-0.9031565914778832,-0.5505611188576321,0.06537010810943755,-0.05234862361633813,-0.012606083138827582,0.5596032172254116,0.06032363214887897,-0.3308364192745532,-0.9845947703607968,-0.334991718362665,-1.2219028445770526,1.3502170679579424,-0.4675245822121844,1.5304352189323862,-0.56871973457804,-0.726221219928179,0.9474441252156617,-1.794351610718302,-0.41304197672958426
471,-0.5742812152452073,-0.6401310151179814,0.7905296160907481,1.2322872240587788,-0.42079328188912773,-0.7518362427157053,-1.0600988273786502,-1.1920442619856122,-1.3747743560506607,-1.4266627522574227,-1.5270858743455775,-0.6763995415945232,-0.1351474756798972,2.1553583507744523,-0.64488217208496,-0.5963414293036761,-0.6032531583743966,0.7945467319723887,0.7945467319723887,1.0642720646147248,0.5539078301058645,1.5191979221914582,0.11333116624319114,-0.4115399882234307,0.6685318407272519,-0.3308364192745532,-1.7398694171962534,-0.334991718362665,-2.3039301889396167,1.1089716499989486,-0.4675245822121844,-1.0552787410682576,-0.56871973457804,-0.726221219928179,-1.116467694344995,-0.8600890474724555,-0.41304197672958426
704,-1.026108200029088,0.3754258821434488,0.0931874310106972,0.3370110399190614,1.607937321077786,1.131336973807397,-1.0600988273786502,-1.1920442619856122,-0.796985661366723,0.9457891027269566,-1.5270858743455775,1.4784161409137435,-0.1351474756798972,2.1553583507744523,-0.64488217208496,-0.5963414293036761,-0.6032531583743966,-1.6304390453680122,-1.6304390453680122,-1.0052641468353747,-0.4193147927355989,-1.280053441952093,-0.3638203969370317,-0.4545993860897294,0.7419147999049439,-0.3308364192745532,-1.456641424632957,-0.334991718362665,-1.0726576936304926,1.639711569508736,-0.4675245822121844,-1.1680548206485528,1.7583353261724721,1.3769908845391448,0.35348212364345916,-0.5203572062921477,-0.41304197672958426
844,0.7247213660084502,1.6448720037202367,-0.7436231910853639,0.83438669777446,0.6964741010938099,-0.009980127115695393,-1.0600988273786502,-1.1920442619856122,-0.6814279224299354,1.4202794737238325,-1.5270858743455775,1.4784161409137435,-0.1351474756798972,2.1553583507744523,-0.64488217208496,-0.5963414293036761,-0.6032531583743966,-1.1334982484284226,-1.1334982484284226,0.4502104987943154,-0.4624663896311824,0.6163497052710061,-0.34106837478404484,-0.916718995333399,0.6694499920905519,-0.3308364192745532,-0.4810783391371588,2.9851484236317485,0.7929066932015134,1.3502170679579424,2.138924963620744,-0.8862825859859895,-0.56871973457804,-0.726221219928179,-0.00835818623219526,1.6454332812323147,2.4210614328303324
1640,0.6682429929104651,0.7562597186164851,-0.3252178800373334,0.6354364346323006,0.36182681396297767,-1.4366265032695602,-1.0600988273786502,-1.1920442619856122,-0.3347547056195729,-0.47768201026367096,-1.5270858743455775,-0.6763995415945232,-0.1351474756798972,2.1553583507744523,-0.64488217208496,-0.5963414293036761,-0.6032531583743966,-0.8349072116406864,-0.8349072116406864,1.4807290435102274,-0.925575492028427,1.4348195841615095,-0.5615386739566395,-1.1397051628553028,-0.05763786860664612,-0.3308364192745532,0.2112567537953426,-0.334991718362665,1.6137550234075972,1.1089716499989486,2.138924963620744,0.08077368615620646,-0.56871973457804,-0.726221219928179,0.9019828625736488,1.0084360790192375,-0.41304197672958426
1373,-0.6307595883431923,-0.3862417908026239,-0.18574944302132318,0.83438669777446,1.4295632635813518,1.530797959130479,-1.0600988273786502,-1.1920442619856122,-0.10363922774599786,0.4712987317300808,-1.5270858743455775,-0.6763995415945232,-0.1351474756798972,2.1553583507744523,-0.64488217208496,-0.5963414293036761,-0.6032531583743966,0.8627961118095855,0.8627961118095855,-0.34445740991444973,-1.1490391188091276,0.09109455103457482,-0.6512649585036248,-0.9074919815049061,0.13560926993809752,-0.3308364192745532,0.431545192455685,-0.334991718362665,1.1660195705679157,0.6264808140809585,-0.4675245822121844,-0.5830804940616623,1.7583353261724721,1.3769908845391448,-0.45073018143833904,-0.7326896070298401,-0.41304197672958426
400,1.120069977694346,1.073621249010682,0.0931874310106972,-1.4535413283603735,1.7096638266271584,1.3025345389458611,-1.0600988273786502,-1.1920442619856122,0.24303398906436469,-1.4266627522574227,-1.5270858743455775,-0.6763995415945232,-0.1351474756798972,2.1553583507744523,-0.64488217208496,-0.5963414293036761,-0.6032531583743966,0.2933403487929742,0.2933403487929742,-0.8947755605977924,-0.9163287212650875,-1.6175667940718883,-0.6224243670420936,-1.2242861229498183,0.7176385215209558,-0.3308364192745532,0.6518336311160261,-0.334991718362665,0.8302179809381546,0.3369863125301647,2.138924963620744,-1.42051549128943,1.7583353261724721,1.3769908845391448,-1.1183973233398683,1.5605003209372377,2.4210614328303324
1496,-0.2918893497552817,1.200565861168361,1.7668086752028194,0.3370110399190614,-0.08834040319849773,0.04708572793045926,-1.0600988273786502,-1.1920442619856122,0.24303398906436469,-1.4266627522574227,-1.5270858743455775,-0.6763995415945232,-0.1351474756798972,2.1553583507744523,-0.64488217208496,-0.5963414293036761,-0.6032531583743966,-1.7818673568817927,-1.7818673568817927,0.7965497210390445,-1.2338011841397383,1.595138426418412,-0.6458172912275584,-1.3104049186824156,0.5210136233329564,-0.3308364192745532,0.11684742294091052,-0.334991718362665,1.091396995094635,0.4817335633055622,-0.4675245822121844,0.17884826826261152,-0.56871973457804,-0.726221219928179,3.0998127450942756,0.5837712775438527,-0.41304197672958426
